Date,Time,Temp (°C) c:1,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
12/6/22,0:00:00,26.256,,,,,
12/6/22,0:10:00,26.207,,,,,
12/6/22,0:20:00,26.158,,,,,
12/6/22,0:30:00,26.109,,,,,
12/6/22,0:40:00,26.085,,,,,
12/6/22,0:50:00,26.061,,,,,
12/6/22,1:00:00,26.012,,,,,
12/6/22,1:10:00,25.987,,,,,
12/6/22,1:20:00,25.963,,,,,
12/6/22,1:30:00,25.914,,,,,
12/6/22,1:40:00,25.866,,,,,
12/6/22,1:50:00,25.817,,,,,
12/6/22,2:00:00,25.768,,,,,
12/6/22,2:10:00,25.72,,,,,
12/6/22,2:20:00,25.695,,,,,
12/6/22,2:30:00,25.695,,,,,
12/6/22,2:40:00,25.671,,,,,
12/6/22,2:50:00,25.647,,,,,
12/6/22,3:00:00,25.647,,,,,
12/6/22,3:10:00,25.623,,,,,
12/6/22,3:20:00,25.598,,,,,
12/6/22,3:30:00,25.598,,,,,
12/6/22,3:40:00,25.55,,,,,
12/6/22,3:50:00,25.525,,,,,
12/6/22,4:00:00,25.453,,,,,
12/6/22,4:10:00,25.428,,,,,
12/6/22,4:20:00,25.38,,,,,
12/6/22,4:30:00,25.307,,,,,
12/6/22,4:40:00,25.258,,,,,
12/6/22,4:50:00,25.21,,,,,
12/6/22,5:00:00,25.137,,,,,
12/6/22,5:10:00,25.089,,,,,
12/6/22,5:20:00,25.089,,,,,
12/6/22,5:30:00,25.065,,,,,
12/6/22,5:40:00,25.016,,,,,
12/6/22,5:50:00,24.992,,,,,
12/6/22,6:00:00,24.992,,,,,
12/6/22,6:10:00,24.992,,,,,
12/6/22,6:20:00,24.968,,,,,
12/6/22,6:30:00,24.919,,,,,
12/6/22,6:40:00,24.895,,,,,
12/6/22,6:50:00,24.895,,,,,
12/6/22,7:00:00,24.895,,,,,
12/6/22,7:10:00,24.895,,,,,
12/6/22,7:20:00,24.871,,,,,
12/6/22,7:30:00,24.847,,,,,
12/6/22,7:40:00,24.823,,,,,
12/6/22,7:50:00,24.798,,,,,
12/6/22,8:00:00,24.75,,,,,
12/6/22,8:10:00,24.726,,,,,
12/6/22,8:20:00,24.702,,,,,
12/6/22,8:30:00,24.702,,,,,
12/6/22,8:40:00,24.677,,,,,
12/6/22,8:50:00,24.677,,,,,
